headlines,text,date,author,read_more
He never compromised with ideals: Shah in tribute to Bal Thackeray,"Union Home Minister Amit Shah on Thursday paid tribute to Shiv Sena founder Bal Thackeray on his birth anniversary. Shah took to Twitter and wrote, ""Balasaheb Ji was a brilliant intellect of his time, always mesmerised the masses with his oratory skills."" ""He always stood firm and never compromised with his ideals,"" he added.","23 Jan 2020,Thursday",Kirti Joshi,https://www.financialexpress.com/india-news/amit-shah-pays-tributes-to-bal-thackeray-says-he-never-compromised-with-ideals/1832666/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
Maha govt holds review meeting with police on Bhima-Koregaon case,"Maharashtra Deputy Chief Minister Ajit Pawar and state Home Minister Anil Deshmukh on Thursday met Maharashtra Police to review the case of violence at Koregaon Bhima in Pune on January 1, 2018. Last month, NCP chief Sharad Pawar demanded that a Special Investigation Team be set up to probe the action taken by Pune Police in the case.","23 Jan 2020,Thursday",Kirti Joshi,None
Training aircraft makes emergency landing on expressway near Delhi,"A National Cadet Corps (NCC) training aircraft on Thursday made an emergency landing on the Eastern Peripheral Expressway near Ghaziabad's Sadarpur village. The aircraft, enroute to Hindon airbase from Bareilly, made the landing after it faced a technical problem. The 135-km-long Eastern Peripheral Expressway connects Haryana and western Uttar Pradesh.","23 Jan 2020,Thursday",Kirti Joshi,https://www.thequint.com/news/india/aircraft-emergency-landing-delhi-ghaziabad-expressway?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
"Air tanker crashes in Australia while fighting bushfires, 3 dead","A Canadian-owned C-130 Hercules aerial water tanker crashed while fighting bushfires in Australia, leaving its three American crew members dead. ""There's no indication at this stage of what caused the accident,"" a fire services official said. ""Initial reports are that there was a large fireball associated with the impact of the plane as it hit the ground,"" the official added.","23 Jan 2020,Thursday",Shailesh,https://www.newindianexpress.com/world/2020/jan/23/firefighting-plane-crashes-while-battling-australian-wildfires-three-dead-2093495.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
"Yes Bank won't be allowed to fail, solution will emerge: SBI Chairman at WEF","State Bank of India Chairman Rajnish Kumar said that he has a ""feeling"" that Yes Bank ""will not be allowed to fail"" and was certain that ""some solutions will emerge"". ""Yes Bank is a significant player in the market with an almost $40 billion balance sheet,"" Kumar said at the WEF. Yes Bank has been unable to raise fresh capital. ","23 Jan 2020,Thursday",Anushka Dixit,https://www.livemint.com/industry/banking/sbi-chairman-rajnish-kumar-says-yes-bank-will-not-be-allowed-to-fail-11579758013907.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
"He used injection for erection before assault, says lawyer during Harvey's rape trial","During rape-accused producer Harvey Weinstein's trial which began on Wednesday, prosecutor Meghan Hast told jury that he screamed at one victim that she ""owed"" him sex and used injections to induce an erection before an assault. ""He ripped [a woman's] jeans off so forcefully that it left scratch marks,"" the lawyer added. ""He must be held accountable,"" Hast further said.nn","23 Jan 2020,Thursday",Daisy Mowke,https://www.hindustantimes.com/hollywood/harvey-weinstein-rape-trial-opens-marking-milestone-for-metoo/story-Ndx5WK5KBlHmqMFZdvEPLK.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
It's only buzz: Shraddha on reports of marriage with rumoured boyfriend Rohan,"Actress Shraddha Kapoor, on being asked about reports of marriage with rumoured boyfriend Rohan Shrestha during an interview with Times of India, said, ""Like you said, it's only 'buzz'"". ""Right now, I don't have the time to think about anything apart from...movies,"" she added. Rohan is a celebrity photographer and son of Rakesh Shrestha, who's also a Bollywood photographer.","23 Jan 2020,Thursday",Daisy Mowke,https://www.hindustantimes.com/bollywood/shraddha-kapoor-answers-if-she-is-marrying-rohan-shrestha-it-s-only-buzz/story-LGqnocqELlUu4GCvxez0NP.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
US Senator Elizabeth describes favourite Indian dish; journalist asks people to guess,"US Senator Elizabeth Warren, who's campaigning for the upcoming Presidential elections, described her favourite Indian dish during an interaction with a news website. Tweeting the description, campaign reporter Zohreen Shah wrote, ""If you know what she's referring to, feel free to chime in."" While a user wrote she meant 'kheer', others commented that it could be 'malai kofta' or 'paneer'.","23 Jan 2020,Thursday",Daisy Mowke,https://twitter.com/Zohreen/status/1219391981501198339?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1219391981501198339&utm_campaign=fullarticle&utm_medium=referral&ref_url=https%3A%2F%2Findianexpress.com%2Farticle%2Ftrending%2Ftrending-globally%2Fwhich-indian-dish-is-us-senator-elizabeth-warren-talking-about-6229492%2F&utm_source=inshorts 
He did not have to do that: Steve Smith on Virat Kohli's World Cup gesture,"Talking about Team India captain Virat Kohli's gesture during 2019 World Cup that won him the 'ICC Spirit of Cricket Award', Australia batsman Steve Smith said, ""It was really nice of him."" He added, ""He didn't have to do that and yeah it was lovely gesture and I really appreciated that."" Kohli had asked the crowd to not boo Smith.","23 Jan 2020,Thursday",Anmol Sharma,https://www.crictracker.com/he-did-not-have-to-do-that-steve-smith-on-virat-kohlis-booing-gesture-for-him-at-2019-world-cup/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
FIR against Azharuddin for allegedly cheating travel agent of ₹21 lakh,An FIR has been registered against ex-India captain Mohammed Azharuddin and two others for allegedly cheating a Maharashtra travel agent of nearly ₹21 lakh. The agency owner alleged that he booked various international flight tickets for Azharuddin and others but he wasn't paid. Azharuddin dismissed the allegation and said he'll file a defamation case worth ₹100 crore against the complainant.,"23 Jan 2020,Thursday",Arshiya Chopra,None
He is free to go: Nitish to JD(U) leader who questioned alliance with BJP,"Bihar CM Nitish Kumar on Thursday criticised party leader Pavan Varma for questioning JD(U)'s tie-up with BJP for Delhi elections, saying he's ""free to go"" wherever he likes. Varma on Tuesday shared a letter wherein he mentioned that Kumar has expressed apprehensions ""in private"" about BJP's ""divisive"" agenda. ""If anyone has issues they should discuss within the party,"" Kumar added.","23 Jan 2020,Thursday",Jigyasu,https://www.deccanherald.com/national/national-politics/free-to-go-nitish-kumar-slams-pavan-varma-who-questioned-jdu-bjp-tie-up-for-delhi-polls-797362.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
"Bike rental startup Bounce raises $105 mn from FB Co-founder's VC firm, others","Bengaluru-based bike rental startup Bounce has raised $105 million at a valuation of $520 million in Series D funding round led by Accel Partners and Facebook Co-founder Eduardo Saverin's B Capital Group. Other existing investors including Falcon Edge and Chiratae Ventures also participated in the round. Notably, Asia Co-head at B Capital Group, Kabir Narang, will be joining Bounce's board. ","23 Jan 2020,Thursday",Anushka Dixit,https://techcrunch.com/2020/01/22/indian-bike-rental-startup-bounce-raises-105m/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
Was told 'throwbacks' occur on Thursdays: Tata shares pic of himself from 1962 ,"Tata Trusts Chairman Ratan Tata on Thursday shared a picture of himself from his days in Los Angeles. ""I was going to post this yesterday, but I was told about 'throwbacks' and how they occur on Thursdays,"" Tata wrote. After completing B.Arch in 1962, Tata worked with an architecture firm in Los Angeles before returning to India in late 1962. ","23 Jan 2020,Thursday",Krishna Veera Vanamali,https://www.timesnownews.com/business-economy/companies/article/ratan-tatas-throwback-picture-takes-internet-by-storm-netizens-call-him-a-hollywood-star/543954?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
"Who was 16-yr-old Muhsin, honoured with bravery award posthumously?","President Ram Nath Kovind honoured 16-year-old Muhammed Muhsin from Kerala's Kozhikode with ICCW National Bravery Award (Abhimanyu Award) posthumously on Wednesday. Muhsin had saved three of his friends from drowning in a sea but lost his life in the process. ""I'm proud of Muhsin. I'm not sad at all. He gave his life for a good cause,"" his father said.","23 Jan 2020,Thursday",Arshiya Chopra,https://repository.inshorts.com/articles/en/PTI/0ab5be68-1530-4353-8f58-5536cba8720f?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
"Delhi court acquits man accused of rape, says 'woman was his wife on that day'","A man accused of rape by his estranged wife has been acquitted by a Delhi court, observing that ""the complainant was married to the man on that day"". The woman had left the accused after he was convicted and jailed for theft. She complained about him after he allegedly visited and made physical contact with her repeatedly after his release.","23 Jan 2020,Thursday",Arshiya Chopra,https://www.timesnownews.com/mirror-now/in-focus/article/delhi-court-acquits-rape-accused-says-woman-was-his-wife-when-he-forcibly-made-physical-relation/543705?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
8-yr-old hospitalised with swollen legs after teacher makes her do 450 sit-ups,"A tuition teacher in Maharashtra's Thane has been booked for allegedly making an eight-year-old student do 450 sit-ups for not completing her homework, police said. The girl had swelling in her legs and was admitted to a hospital. The teacher, identified as Lata, has allegedly stripped the girl last month as well and beat her for not completing her homework.","23 Jan 2020,Thursday",Jigyasu,https://repository.inshorts.com/articles/en/PTI/1b892bde-f112-4347-a47f-d41ab276a8f5?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
"Tihar asks Nirbhaya convicts their last wish, says 'they haven't responded yet'","Tihar Jail authorities in Delhi have asked the four Nirbhaya gangrape and murder convicts to list their last wish before they are hanged to death on February 1. ""We're awaiting a reply from them. None of them have responded so far,"" an officer said. The convicts have also been asked to name anyone they wish to meet one last time.","23 Jan 2020,Thursday",Arshiya Chopra,https://www.hindustantimes.com/india-news/tihar-jail-preps-to-hang-4-delhi-gang-rape-convicts-asks-them-to-list-last-wish/story-b7MYsyk3RllyZ5eVyiLqDI.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
"Pak spews venom, takes to hate speech like fish takes to water: India at UN","India criticised Pakistan at the United Nations for raking up the Kashmir issue at the international forum. India's Deputy Permanent Representative to the UN K Nagaraj Naidu said Pakistan spews venom and takes to hate speech like fish takes to water. ""Pakistan needs to reflect that there are no takers for its false rhetoric,"" Naidu added.","23 Jan 2020,Thursday",Jigyasu,https://www.hindustantimes.com/india-news/spews-venom-propagates-false-narratives-india-takes-on-pakistan-at-un/story-lvIDKcZfmjl07hiePHen6O.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
